time,lat,lng,dist,cum_dist,sog,target_speed,cog,vmg,hdg,awa,aws,twa,tws,twd,tack,dpt,ewm_vmg,ewm_tws,pct_target
2023-09-06 14:53:07+00:00,59.46365486830473,24.76509123109281,0.005882982497004214,1.974667263514576,5.294684247303793,6.005692268678659,241.71144742410513,4.148394308092216,119.0,26.0,15.3,38.41768112281321,10.793676969236273,280.1291285469183,1.0,025.1,4.195280712932105,12.069044449823792,0.88161098012248
2023-09-06 14:53:17+00:00,59.46354003623128,24.764668699353933,0.014617718479841727,1.9892849819944178,5.262378652743022,5.956713260753014,241.85816787228998,4.080657126137152,122.0,26.0,14.6,39.15508909405304,10.13620376142338,281.013256966343,1.0,024.4,4.137968919534629,11.972400845950991,0.8834366239206521
2023-09-06 14:53:24+00:00,59.463445488363504,24.764403412118554,0.009885258106825794,1.9991702401012437,5.083847026367551,2.5142954220441194,234.95235232255595,4.870760065989736,111.0,11.0,14.8,16.64748224060014,9.857403534165382,251.5998345631561,1.0,024.6,4.504364492762182,11.866649348868515,2.0219768058259397
2023-09-06 14:53:36+00:00,59.46334348060191,24.763954896479845,0.014990593548903258,2.014160833650147,4.497178064670978,6.237140727954893,245.88562585471078,3.235852806618132,312.0,31.0,13.9,43.984341678689674,10.308745114351714,201.9012841760211,-1.0,024.3,3.870108649690157,11.788752995475605,0.7210320018136845
2023-09-06 14:53:40+00:00,59.463308192789555,24.763802848756313,0.005099339990516467,2.0192601736406637,4.589405991464821,6.158309184362181,245.45022870653105,3.470504015474363,305.0,29.0,14.6,40.869757617721376,10.817314249289872,204.58047108880967,-1.0,024.4,3.67030633258226,11.740180381869372,0.7452379953768345
2023-09-06 14:53:48+00:00,59.4632366951555,24.76352021098137,0.00963167508404469,2.0288918487247085,4.334253787820111,5.287275308522373,243.53255588050584,3.6417516921164874,283.0,24.0,15.3,32.83603277375167,11.476667520545938,210.69652310675417,-1.0,024.7,3.6560290123493737,11.727004564523371,0.8197518636553461
2023-09-06 14:53:53+00:00,59.463264439255,24.763378724455833,0.004626477166054009,2.0335183258907623,3.3310635595588862,5.00065259525202,291.103406243613,2.8711814157794513,282.0,24.0,15.0,30.464738830172337,12.033438615757621,260.63866741344066,-1.0,024.7,3.2636052140644125,11.742326459618292,0.6661257698088522
2023-09-06 14:54:11+00:00,59.46356216445565,24.762984942644835,0.011971407468325717,2.045489733359088,4.788562987330287,5.207919408501219,326.4281636052239,4.101478198255011,282.0,23.0,17.6,31.072439027439657,13.324129048757406,295.35572457778426,-1.0,,3.6825417061597117,11.821417533232298,0.9194771676984114
2023-09-06 14:54:20+00:00,59.46372661739588,24.762709429487586,0.01296656367785635,2.0584562970369444,5.1866254711425395,6.303638247683671,319.59533518209844,4.015407753011886,285.0,28.0,16.8,39.268797846350765,12.460708768943261,280.3265373357477,-1.0,027.7,3.848974729585799,11.85338245752289,0.8227987183510113
2023-09-06 14:54:26+00:00,59.46384203620255,24.762510946020484,0.009202352166860934,2.067658649203805,5.52141130011656,6.543014022761482,318.8550670033318,3.939792964881081,283.0,31.0,16.6,44.47565703596115,12.203192690228438,274.37940996737063,-1.0,027.0,3.89438384723344,11.870873157597334,0.8438635896100748
