time,lat,lng,sog,cog,hdg,awa,aws,tack,dpt,speed,twa,tws,twd,vmg,dist,cum_dist,time
2024-08-07 15:46:36+00:00,59.48596666666667,24.818966666666665,5.8,20.0,62.0,30.0,14.4,1.0,54.9,0.0,47.18504039311702,9.815249184399107,67.18504039311702,3.941870552361832,0.0010006756991536318,1145416.239476059,2024-08-07 15:46:36+00:00
2024-08-07 15:46:37+00:00,59.486,24.818983333333335,5.8,22.0,,31.0,14.7,1.0,54.9,0.0,48.069677454544916,10.176729920965565,70.06967745454492,3.875712961253454,0.0020648402179371615,1145416.2404767347,2024-08-07 15:46:37+00:00
2024-08-07 15:46:38+00:00,59.486016666666664,24.819016666666666,5.6,25.0,63.0,34.0,14.8,1.0,54.9,0.0,51.13430917862172,10.629145401831527,76.13430917862172,3.513982789898228,0.001426177107279861,1145416.2425415749,2024-08-07 15:46:38+00:00
2024-08-07 15:46:40+00:00,59.4861,24.819116666666666,5.7,30.0,61.0,37.0,14.9,1.0,47.0,0.0,55.34064500420416,10.901549076317863,85.34064500420416,3.2415681130201808,0.002244556107729965,1145416.2475930348,2024-08-07 15:46:40+00:00
2024-08-07 15:46:41+00:00,59.486116666666675,24.819149999999997,5.7,27.0,60.0,34.0,15.0,1.0,7.2,,51.23518239376156,10.757535735152725,78.23518239376156,3.568913308649212,0.0014261749637896977,1145416.2498375908,2024-08-07 15:46:41+00:00
2024-08-07 15:46:42+00:00,59.48613333333333,24.819149999999997,5.9,29.0,60.0,31.0,14.5,1.0,7.2,0.0,48.838503125901525,9.919610619871557,77.83850312590152,3.883283734736403,0.0010006756985807452,1145416.2512637659,2024-08-07 15:46:42+00:00
2024-08-07 15:46:43+00:00,,,,,60.0,30.0,14.2,1.0,7.2,0.0,,,,,3756.0181280974884,1145416.2522644415,2024-08-07 15:46:43+00:00
2024-08-07 15:46:44+00:00,59.48616666666667,24.81918333333333,5.7,28.0,59.0,31.0,13.7,1.0,7.2,0.0,49.42130598417907,9.290188963435785,77.42130598417907,3.7078034308452565,3756.0203720672853,1149172.270392539,2024-08-07 15:46:44+00:00
2024-08-07 15:46:45+00:00,59.48616666666667,24.819216666666662,5.5,30.0,57.0,34.0,14.3,1.0,7.3,0.0,51.52385059130401,10.214322779171017,81.52385059130401,3.4220384294817507,0.0010161789228075625,1152928.2907646063,2024-08-07 15:46:45+00:00
2024-08-07 15:46:46+00:00,59.48618333333334,24.819250000000004,5.6,31.0,55.0,36.0,14.8,1.0,7.3,0.0,53.77177341120883,10.784124582570842,84.77177341120883,3.30961759765642,0.0014261735340905283,1152928.2917807852,2024-08-07 15:46:46+00:00
2024-08-07 15:46:47+00:00,59.486216666666664,24.819283333333335,6.0,32.0,,35.0,14.5,1.0,7.0,0.0,54.750320229114664,10.184181081153037,86.75032022911466,3.4628437546545965,0.0022445545180687855,1152928.2932069588,2024-08-07 15:46:47+00:00
2024-08-07 15:46:48+00:00,59.486250000000005,24.81931666666667,5.8,29.0,53.0,32.0,13.9,1.0,6.8,0.0,50.89165278713307,9.492666905340032,79.89165278713307,3.658575388608037,0.002244554064792875,1152928.2954515133,2024-08-07 15:46:48+00:00
2024-08-07 15:46:50+00:00,59.48631666666667,24.819366666666664,5.6,23.0,54.0,30.0,14.4,1.0,6.8,0.0,46.340388158436866,9.95225717501541,69.34038815843687,3.8660866459289003,0.0010006756995355563,1152928.3010628975,2024-08-07 15:46:50+00:00
2024-08-07 15:46:51+00:00,59.48633333333334,24.819383333333334,5.8,22.0,55.0,31.0,14.3,1.0,6.8,,48.75650113258186,9.795054270372043,70.75650113258186,3.823710914346022,0.0011222764083587088,1152928.3020635732,2024-08-07 15:46:51+00:00
2024-08-07 15:46:52+00:00,59.48636666666666,24.819383333333334,6.1,23.0,57.0,31.0,14.1,1.0,6.9,0.0,50.50142000084736,9.411167883595672,73.50142000084736,3.879960487904677,0.002001351397925424,1152928.3031858495,2024-08-07 15:46:52+00:00
2024-08-07 15:46:53+00:00,,,,,57.0,30.0,14.0,1.0,7.1,0.0,,,,,3756.033835875567,1152928.305187201,2024-08-07 15:46:53+00:00
